time,speed,acceleration,force,power,distance
0.620000005,-0.140000001,1.870000005,22.63999939,-3.170000076,1.570000052
0.639999986,-0.090000004,2.440000057,22.44000053,-2.019999981,1.570000052
0.660000026,-0.029999999,3.200000048,22.04999924,-0.660000026,1.570000052
0.680000007,0.050000001,4.619999886,21.36000061,1.070000052,1.580000043
0.699999988,0.170000002,5.840000153,20.19000053,3.430000067,1.590000033
0.720000029,0.300000012,6.440000057,18.22999954,5.46999979,1.600000024
0.74000001,0.439999998,6.840000153,15.57999992,6.860000134,1.610000014
0.75999999,0.579999983,7,12.44999981,7.21999979,1.629999995
0.779999971,0.699999988,6.300000191,9.109999657,6.380000114,1.649999976
0.800000012,0.829999983,6.179999828,5.980000019,4.960000038,1.669999957
0.819999993,0.959999979,6.920000076,3.329999924,3.200000048,1.690000057
0.839999974,1.139999986,8.600000381,1.370000005,1.559999943,1.720000029
0.860000014,1.340000033,10.18000031,0.100000001,0.129999995,1.75999999
0.879999995,1.580000043,11.85999966,-0.389999986,-0.620000005,1.799999952
0.899999976,1.820000052,11.90999985,-0.589999974,-1.070000052,1.840000033
0.920000017,2.039999962,11.09000015,-0.589999974,-1.200000048,1.889999986
0.939999998,2.220000029,8.880000114,-0.589999974,-1.309999943,1.940000057
0.959999979,2.329999924,5.679999828,-0.589999974,-1.370000005,1.99000001
0.980000019,2.369999886,1.99000001,-0.689999998,-1.629999995,2.039999962
1,2.359999895,-0.409999996,-0.49000001,-1.159999967,2.079999924
1.019999981,2.309999943,-2.460000038,-0.200000003,-0.449999988,2.119999886
1.039999962,2.25,-3.170000076,0.200000003,0.439999998,2.170000076
1.059999943,2.200000048,-2.49000001,0.779999971,1.720000029,2.210000038
1.080000043,2.170000076,-1.610000014,1.570000052,3.400000095,2.25
1.100000024,2.150000095,-0.870000005,2.25,4.849999905,2.299999952
1.120000005,2.150000095,-0.02,2.839999914,6.110000134,2.339999914
1.139999986,2.180000067,1.370000005,3.039999962,6.619999886,2.390000105
1.159999967,2.25,3.900000095,3.140000105,7.059999943,2.430000067
1.179999948,2.420000076,8.369999886,3.039999962,7.349999905,2.49000001
1.200000048,2.700000048,14.18000031,2.74000001,7.409999847,2.559999943
1.220000029,3.089999914,19.34000015,2.349999905,7.269999981,2.640000105
1.24000001,3.50999999,21.04000092,2.059999943,7.21999979,2.730000019
1.25999999,3.900000095,19.21999931,1.669999957,6.5,2.819999933
1.279999971,4.159999847,13.35000038,1.370000005,5.710000038,2.900000095
1.299999952,4.289999962,6.119999886,1.080000043,4.619999886,2.99000001
1.320000052,4.269999981,-0.610000014,0.879999995,3.769999981,3.069999933
1.340000033,4.170000076,-5.119999886,0.980000019,4.090000153,3.150000095
1.360000014,4.03000021,-7.28000021,1.269999981,5.130000114,3.220000029
1.379999995,3.880000114,-7.460000038,1.860000014,7.21999979,3.299999952
1.399999976,3.720000029,-7.639999866,2.650000095,9.840000153,3.359999895
1.419999957,3.569999933,-7.769999981,3.529999971,12.59000015,3.430000067
1.440000057,3.410000086,-7.840000153,4.309999943,14.69999981,3.49000001
1.460000038,3.269999981,-7.210000038,5.099999905,16.65999985,3.549999952
1.480000019,3.160000086,-5.389999866,5.679999828,17.95999908,3.609999895
1.5,3.150000095,-0.340000004,5.980000019,18.82999992,3.680000067
1.519999981,3.319999933,8.31000042,5.980000019,19.85000038,3.75999999
1.539999962,3.640000105,15.97999954,5.679999828,20.69000053,3.849999905
1.559999943,4.03000021,19.42000008,5.289999962,21.32999992,3.950000048
1.580000043,4.409999847,19,4.699999809,20.73999977,4.050000191
1.600000024,4.699999809,14.82999992,3.920000076,18.42000008,4.139999866
1.620000005,4.840000153,6.710000038,3.039999962,14.69999981,4.239999771
1.639999986,4.809999943,-1.149999976,2.349999905,11.31000042,4.329999924
1.659999967,4.699999809,-5.5,1.960000038,9.210000038,4.420000076
1.679999948,4.570000172,-6.809999943,1.860000014,8.510000229,4.510000229
1.700000048,4.409999847,-7.690000057,2.059999943,9.079999924,4.590000153
1.720000029,4.260000229,-7.5,2.650000095,11.27000046,4.670000076
1.74000001,4.159999847,-5.119999886,3.529999971,14.68000031,4.75
1.75999999,4.199999809,1.789999962,4.309999943,18.11000061,4.840000153
1.779999971,4.429999828,11.40999985,5,22.13999939,4.940000057
1.799999952,4.789999962,18.22999954,5.489999771,26.29000092,5.059999943
1.820000052,5.21999979,21.31999969,5.489999771,28.64999962,5.179999828
1.840000033,5.619999886,20.09000015,5.190000057,29.19000053,5.300000191
1.860000014,5.889999866,13.35999966,4.510000229,26.54999924,5.420000076
1.879999995,5.96999979,3.940000057,3.819999933,22.81999969,5.539999962
1.899999976,5.900000095,-3.069999933,3.039999962,17.92000008,5.650000095
1.919999957,5.769999981,-6.900000095,2.650000095,15.27000046,5.760000229
1.940000057,5.610000134,-7.730000019,2.349999905,13.18999958,5.869999886
1.960000038,5.460000038,-7.690000057,2.650000095,14.44999981,5.96999979
1.980000019,5.289999962,-8.43999958,3.140000105,16.59000015,6.070000172
2,5.119999886,-8.180000305,3.819999933,19.56999969,6.170000076
2.019999981,4.96999979,-7.610000134,4.610000134,22.88999939,6.260000229
2.039999962,4.829999924,-7.28000021,5.389999866,26.03000069,6.360000134
