setId,rep_number,time,position,speed,acceleration,force
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.574988484,-113.096405,3.699784517,-8.912991524,53.45520782
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.57998842,-113.1146927,3.656630754,-8.63075161,53.79607391
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.584988296,-113.1327744,3.617020369,-7.922083855,53.22595215
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.589988172,-113.1506882,3.583047867,-6.79452467,51.68722534
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.594988108,-113.1684723,3.556577921,-5.293976307,49.21523666
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.599987984,-113.1861725,3.539093256,-3.496940374,45.93444443
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.604987919,-113.2038269,3.531587362,-1.501154661,42.0435791
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.609987795,-113.2214966,3.534518242,0.586148322,37.79081345
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.614987671,-113.2392426,3.547814131,2.659195662,33.44244003
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.619987607,-113.2570953,3.570936203,4.624434471,29.25003624
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.624987483,-113.2751083,3.602980137,6.408763409,25.42256737
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.629987419,-113.2933197,3.642802715,7.964509964,22.10520363
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.634987295,-113.3117676,3.689149141,9.269305229,19.37313843
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.639987171,-113.3304749,3.740757465,10.32166004,17.23612595
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.644987106,-113.3494568,3.796438217,11.13614368,15.65114784
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.649986982,-113.3687286,3.855122089,11.73676109,14.54302692
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.654986918,-113.3883057,3.915874243,12.15043259,13.82330894
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.659986794,-113.4081955,3.977883101,12.40178776,13.40789986
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.66498673,-113.4283981,4.040453911,12.51410675,13.22599983
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.669986606,-113.4489136,4.103007793,12.51082706,13.21966171
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.674986482,-113.4697418,4.165099144,12.41828918,13.33924007
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.679986417,-113.4908752,4.226425171,12.26521206,13.54019833
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.684986293,-113.5123062,4.286831379,12.08122063,13.77955627
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.689986229,-113.5340424,4.34630537,11.89478779,14.01975632
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.694986105,-113.5560608,4.4049716,11.73324108,14.22642803
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.699985981,-113.5783768,4.463068008,11.61927319,14.37119293
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.704985917,-113.6009827,4.520894527,11.56531811,14.43866539
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.709985793,-113.6238785,4.578746796,11.57044983,14.43040371
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.714985728,-113.6470642,4.636848927,11.62039566,14.36531258
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.719985604,-113.6705399,4.695296764,11.68961048,14.27675915
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.72498548,-113.6943054,4.754026413,11.74595833,14.20571995
